Date,Home,Goals_Home,Goals_Away,Away
2024-04-13,Corinthians,0,0,Atlético Mineiro
2024-04-16,Juventude,2,0,Corinthians
2024-04-19,Bragantino,1,0,Corinthians
2024-04-27,Corinthians,3,0,Fluminense FC
2024-05-04,Corinthians,0,0,Fortaleza
2024-05-10,Flamengo RJ,2,0,Corinthians
2024-06-01,Corinthians,0,1,Botafogo FR
2024-06-10,Atlético GO,2,2,Corinthians
2024-06-15,Corinthians,2,2,São Paulo
2024-06-19,Internacional RS,1,0,Corinthians
2024-06-22,Athletico PR,1,1,Corinthians
2024-06-25,Corinthians,1,1,Cuiabá
2024-06-30,SE Palmeiras,2,0,Corinthians
2024-07-03,Corinthians,3,2,Vitória
2024-07-06,Cruzeiro,3,0,Corinthians
2024-07-09,Vasco da Gama,2,0,Corinthians
2024-07-16,Corinthians,2,1,Criciúma
2024-07-20,EC Bahia,0,1,Corinthians
2024-07-24,Corinthians,2,2,Grêmio
2024-07-27,Atlético Mineiro,2,1,Corinthians
2024-08-03,Corinthians,1,1,Juventude
2024-08-10,Corinthians,1,1,Bragantino
2024-08-17,Fluminense FC,0,0,Corinthians
2024-08-24,Fortaleza,1,0,Corinthians
2024-08-31,Corinthians,2,1,Flamengo RJ
2024-09-14,Botafogo FR,2,1,Corinthians
2024-09-20,Corinthians,3,0,Atlético GO
2024-09-28,São Paulo,3,1,Corinthians
2024-10-04,Corinthians,2,2,Internacional RS
2024-10-16,Corinthians,5,2,Athletico PR
2024-10-27,Cuiabá,0,1,Corinthians
2024-11-03,Corinthians,2,0,SE Palmeiras
2024-11-08,Vitória,1,2,Corinthians
2024-11-19,Corinthians,2,1,Cruzeiro
2024-11-23,Corinthians,3,1,Vasco da Gama
2024-11-29,Criciúma,2,4,Corinthians
2024-12-02,Corinthians,3,0,EC Bahia
2024-12-07,Grêmio,0,3,Corinthians
